,Condition_A,Condition_B,Condition_C,Condition_D,Condition_E,Condition_F,Condition_G
ENSG00000202222,-1.45410882,-1.641044895,-1.582660852,-2.389701732,-1.282049186,-1.591822541,-1.867285724
ENSG00000286730,-0.340937202,-0.027688488,-0.436953447,-2.389245035,-1.102622018,-0.295143567,-2.870273192
ENSG00000287610,-0.116373763,-0.708404771,-0.178508812,-2.388489775,-1.882618865,-1.303329749,-1.82663293
ENSG00000242307,0.199423373,-0.406522835,-0.575141857,-2.386730114,-0.167361299,-0.909055455,-2.10164613
ENSG00000273797,-2.029226108,-1.344655565,-0.855448162,-2.385981519,-1.560417812,-1.742938425,-2.466802718
ENSG00000255557,-0.564786291,-0.243318382,-1.009310139,-2.370715249,-1.605116363,-1.213715962,-2.155056872
ENSG00000248735,-0.455409446,-0.182628744,0.351931113,-2.367112708,0.770549177,-0.373722963,-1.020310287
ENSG00000260545,-0.238401214,-0.280228618,-0.368644007,-2.365092216,-0.00228547,-1.078873021,-1.622100975
ENSG00000237456,-0.229536356,-0.552563783,-0.404231699,-2.364606158,-1.18263202,-0.234404272,-0.761661846
ENSG00000260895,0.293075221,-0.060774241,-0.181096911,-2.364037211,-1.77931991,-1.080923184,-0.588534092
ENSG00000272103,-2.327933628,-2.135268989,-1.18671967,-2.362656823,-1.109133575,-2.380856458,-2.008429717
ENSG00000129538,-2.710436469,-2.289102084,-2.105061748,-2.3567855,-3.056136245,-3.144682394,-2.308133622
ENSG00000227516,0.263001318,0.573831211,0.888223974,-2.352309557,-1.534418898,0.364310143,-1.299832356
ENSG00000230736,-0.402775411,-0.357171197,-0.243268571,-2.351883398,-1.066414804,-0.607324589,-1.266771588
ENSG00000265178,-0.884794707,-0.508334566,-0.973956175,-2.351377844,-0.496142026,-1.689158633,-2.536905485
ENSG00000219102,-1.872128017,-2.341089259,-1.232129527,-2.349658898,-1.401119326,-1.10905648,-1.96236648
ENSG00000172123,-3.156733312,-2.75369262,-2.929136708,-2.346619954,-2.654691774,-4.344716341,-2.497498438
ENSG00000264573,-0.463682762,-0.463335693,-0.943975719,-2.343592957,0.164688705,0.133750803,-0.571972833
ENSG00000231063,-0.117595482,0.212429879,-0.793055807,-2.335415124,-0.234520624,-0.164812679,-1.146528082
ENSG00000232987,-0.655748899,-0.013665618,-0.087004976,-2.33240738,-1.519176967,-2.034281483,-1.823614222
ENSG00000262296,-0.50351916,-1.12475544,-0.6878914,-2.331120551,-1.305226887,-0.914191707,-2.680025035
ENSG00000229920,-3.540562225,-0.468503434,-0.952016763,-2.32778559,-0.877405792,-1.221955647,-3.24656209
ENSG00000259282,-0.161692556,-2.078646141,-0.281165711,-2.327688446,-1.017056612,-1.133218712,-3.624641111
ENSG00000238086,0.720259099,1.013491416,0.416885687,-2.325701637,0.262603276,-0.212185321,-1.93773524
ENSG00000179840,-1.705308992,-1.975040218,-1.88696602,-2.321454774,-2.893853579,-1.11797207,-3.688642041
ENSG00000277411,-0.895827247,-1.006412196,-0.74885024,-2.321065024,-0.742737144,-1.732894762,-2.396944401
ENSG00000223589,0.171791441,0.466715589,-0.868982541,-2.319468558,-3.100467181,-0.328288619,-4.157629798
ENSG00000249807,-0.141699736,-0.185582315,-0.532216685,-2.315211419,-2.636345153,-0.593312786,-3.035105126
ENSG00000286319,0.164656847,-0.098425198,0.341162645,-2.313985635,0.310997042,-0.234280598,-1.364663877
ENSG00000282121,-0.895982373,-0.376930958,-1.665589509,-2.312862594,-1.041975417,-1.429167128,-1.721779331
ENSG00000213373,-0.9335147,-1.114431939,-0.676756342,-2.312849341,-1.299947697,-2.366002436,-3.023312111
