ENSGID,Condition_A
ENSG00000230090,16.60436256
ENSG00000237162,13.19084284
ENSG00000286654,12.25035803
ENSG00000154415,11.65408478
ENSG00000189320,10.87055423
ENSG00000280744,10.70692854
ENSG00000228612,10.55067364
ENSG00000253899,8.674867183
ENSG00000218208,8.147436913
ENSG00000229605,7.88033088
ENSG00000287998,7.200578761
ENSG00000215807,7.062555263
ENSG00000225483,6.720848717
ENSG00000232060,6.398035664
ENSG00000162989,5.954277977
ENSG00000271412,5.844892668
ENSG00000229682,5.463831054
ENSG00000158315,5.06937883
ENSG00000145850,4.863275782
ENSG00000163083,4.541291021
ENSG00000261638,4.443779608
ENSG00000211532,4.313109663
ENSG00000278737,3.767352179
ENSG00000244245,3.747826628
ENSG00000189169,3.728047514
ENSG00000154198,3.536907307
ENSG00000260976,3.492172635
ENSG00000188674,3.39562201
ENSG00000268034,3.395310182
ENSG00000132329,3.337741951
ENSG00000234141,3.331635511
ENSG00000277739,3.29681118
ENSG00000243517,3.266311362
ENSG00000255836,3.213477669
ENSG00000235532,3.195440655
ENSG00000254896,3.110283617
ENSG00000178394,3.098881505
ENSG00000205871,3.059243555
ENSG00000264916,3.051855056
ENSG00000223723,2.876248109
ENSG00000286943,2.842713369
ENSG00000129988,2.756787791
ENSG00000235032,2.755040744
ENSG00000286257,2.700982276
ENSG00000127863,2.697744938
ENSG00000187534,2.688243372
ENSG00000228532,2.676279151
ENSG00000234289,2.639319502
ENSG00000164379,2.579378825
ENSG00000243181,2.57163213
ENSG00000197582,2.557949766
ENSG00000282164,2.550824324
ENSG00000243307,2.516995207
ENSG00000232528,2.506713024
ENSG00000089199,2.458490036
ENSG00000184302,2.445582242
ENSG00000227321,2.432918767
ENSG00000232721,2.411228285
ENSG00000141448,2.36830558
ENSG00000252050,2.317803478
ENSG00000226390,2.304667209
ENSG00000275647,2.303750087
ENSG00000211798,2.291590468
ENSG00000251066,2.286024441
ENSG00000244471,2.225908314
ENSG00000178762,2.196101702
ENSG00000256393,2.192839881
ENSG00000122025,2.071829844
ENSG00000255537,2.041432895
ENSG00000255020,2.028130509
ENSG00000176194,1.971090018
ENSG00000255618,1.962842003
ENSG00000200120,1.952831918
ENSG00000223612,1.948214557
ENSG00000139155,1.895620948
ENSG00000260081,1.890191205
ENSG00000137561,1.884892023
ENSG00000270354,1.882417667
ENSG00000244540,1.857800525
ENSG00000233588,1.840715629
ENSG00000228559,1.813025978
ENSG00000227220,1.810232718
ENSG00000138400,1.808485466
ENSG00000267301,1.795184207
ENSG00000117148,1.788280253
ENSG00000104043,1.788193791
ENSG00000212664,1.77315366
ENSG00000214855,1.718113496
ENSG00000165443,1.690247208
ENSG00000204850,1.688136797
ENSG00000164093,1.686000019
ENSG00000287170,1.66268525
ENSG00000178429,1.647501524
ENSG00000250511,1.643945083
ENSG00000105668,1.64345624
ENSG00000137766,1.641784682
ENSG00000103175,1.617104074
ENSG00000203811,1.592500461
ENSG00000213790,1.579887074
ENSG00000270276,1.572113108
ENSG00000225573,1.569240718
ENSG00000130755,1.566240775
ENSG00000183598,1.564612959
ENSG00000267107,1.558668315
ENSG00000284636,1.540754539
ENSG00000166828,1.536104099
ENSG00000277775,1.535598401
ENSG00000196747,1.525999095
ENSG00000283897,1.520896871
ENSG00000250103,1.518654607
ENSG00000112499,1.507456339
ENSG00000260549,1.503765733
ENSG00000261519,1.47748352
ENSG00000187837,1.467196015
ENSG00000278828,1.453737314
ENSG00000279384,1.449440422
ENSG00000056291,1.448631987
ENSG00000228430,1.443496646
ENSG00000070601,1.442144811
ENSG00000110148,1.440587473
ENSG00000168875,1.438031253
ENSG00000226525,1.433676148
ENSG00000109846,1.423175383
ENSG00000241506,1.420015818
ENSG00000183671,1.412212995
ENSG00000081051,1.412186905
ENSG00000219433,1.383843007
ENSG00000224861,1.383644677
ENSG00000184838,1.376544542
ENSG00000253683,1.372741445
ENSG00000248859,1.369108536
ENSG00000244363,1.360736702
ENSG00000237510,1.357687584
ENSG00000187475,1.351925369
ENSG00000276903,1.343408349
ENSG00000197837,1.34301535
ENSG00000272269,1.338687188
ENSG00000252010,1.336554796
ENSG00000276180,1.328905521
ENSG00000164120,1.327069113
ENSG00000184357,1.326310714
ENSG00000265458,1.321931844
ENSG00000266913,1.321774074
ENSG00000287080,1.320960364
ENSG00000286522,1.316230015
ENSG00000278463,1.31485842
ENSG00000276168,1.309772036
ENSG00000226085,1.308184582
ENSG00000275713,1.306569369
ENSG00000146013,1.300800455
ENSG00000169627,1.295920175
ENSG00000044524,1.294063893
ENSG00000160180,1.285023719
ENSG00000197061,1.280687797
ENSG00000215474,1.280046439
ENSG00000146276,1.278023638
ENSG00000274290,1.27800325
ENSG00000157399,1.274167594
ENSG00000244349,1.273416246
ENSG00000272196,1.269981989
ENSG00000197153,1.269380606
ENSG00000216866,1.266013947
ENSG00000152977,1.263858253
ENSG00000277157,1.260574754
ENSG00000082482,1.253561731
ENSG00000113209,1.247964701
ENSG00000171956,1.247700544
ENSG00000277734,1.24705953
ENSG00000275126,1.246761315
ENSG00000184270,1.245582182
ENSG00000275088,1.241050357
ENSG00000278637,1.239855494
ENSG00000233762,1.238383133
ENSG00000253520,1.234688831
ENSG00000275714,1.224783744
ENSG00000184986,1.22430153
ENSG00000230330,1.221340564
ENSG00000270269,1.220320687
ENSG00000166823,1.210895354
ENSG00000180573,1.209415428
ENSG00000168421,1.208182181
ENSG00000196890,1.206438566
ENSG00000124575,1.203942656
ENSG00000215475,1.203223952
ENSG00000240914,1.201167248
ENSG00000163508,1.195155413
ENSG00000240204,1.194624739
ENSG00000214199,1.193480201
ENSG00000254252,1.192141525
ENSG00000273703,1.189669327
ENSG00000254531,1.187724855
ENSG00000205364,1.186843483
ENSG00000124479,1.183912156
ENSG00000050628,1.181290518
ENSG00000185130,1.180891986
ENSG00000231246,1.178688256
ENSG00000243709,1.178198183
ENSG00000225850,1.165763716
ENSG00000278705,1.161311299
ENSG00000275379,1.159973897
ENSG00000184260,1.159797931
ENSG00000165272,1.158939559
ENSG00000198759,1.154736553
ENSG00000273983,1.153015876
ENSG00000203852,1.152651463
ENSG00000234710,1.152550822
ENSG00000244300,1.151554351
ENSG00000233225,1.148160703
ENSG00000251791,1.14565439
ENSG00000223583,1.138376833
ENSG00000276966,1.138027733
ENSG00000276368,1.134845683
ENSG00000276410,1.13432604
ENSG00000159713,1.130801978
ENSG00000255986,1.124826331
ENSG00000244586,1.123896621
ENSG00000197903,1.123352685
ENSG00000168282,1.119070392
ENSG00000109738,1.116925162
ENSG00000203814,1.116663825
ENSG00000161133,1.11530336
ENSG00000166426,1.114928815
ENSG00000170961,1.114277829
ENSG00000266402,1.112481184
ENSG00000177432,1.106697943
ENSG00000234618,1.105485068
ENSG00000197956,1.104963532
ENSG00000141574,1.101237316
ENSG00000274333,1.10117609
ENSG00000099250,1.099727235
ENSG00000181524,1.098862806
ENSG00000177459,1.094696115
ENSG00000205221,1.089658897
ENSG00000278771,1.088186711
ENSG00000226539,1.087870532
ENSG00000124610,1.086292909
ENSG00000168148,1.085218826
ENSG00000234825,1.08226215
ENSG00000102048,1.080380926
ENSG00000273802,1.077774279
ENSG00000089505,1.076244511
ENSG00000179546,1.075611262
ENSG00000233822,1.073431845
ENSG00000163344,1.073163566
ENSG00000236279,1.072327689
ENSG00000264350,1.068299181
ENSG00000137672,1.065196077
ENSG00000229117,1.064987705
ENSG00000188010,1.064544879
ENSG00000263563,1.063445299
ENSG00000229525,1.062501616
ENSG00000221818,1.062084621
ENSG00000104435,1.061733048
ENSG00000258670,1.06037769
ENSG00000109099,1.060055342
ENSG00000242419,1.053985132
ENSG00000054598,1.053394103
ENSG00000124635,1.050805257
ENSG00000178573,1.045049922
ENSG00000182379,1.041160754
ENSG00000250654,1.040962386
ENSG00000182687,1.04005237
ENSG00000218426,1.03855489
ENSG00000165474,1.037087983
ENSG00000165973,1.035467544
ENSG00000272157,1.034164686
ENSG00000176386,1.031471768
ENSG00000277075,1.028869771
ENSG00000235489,1.027937819
ENSG00000198729,1.02707531
ENSG00000183617,1.021733937
ENSG00000139211,1.021241372
ENSG00000138823,1.019395087
ENSG00000240087,1.019275629
ENSG00000277224,1.01677197
ENSG00000229637,1.014484578
ENSG00000163673,1.013937203
ENSG00000253626,1.013881801
ENSG00000274641,1.012546212
