Sample,Tx,Batch
H1_0_1,SKO_0,Batch9
H1_0_2,SKO_0,Batch9
H1_0_3,SKO_0,Batch7
H1_0_4,SKO_0,Batch7
H1_1_1,SKO_1,Batch9
H1_1_2,SKO_1,Batch9
H1_1_3,SKO_1,Batch7
H1_1_4,SKO_1,Batch7
H1_2_1,SKO_2,Batch9
H1_2_2,SKO_2,Batch9
H1_2_3,SKO_2,Batch7
H1_2_4,SKO_2,Batch7
H1_3_1,SKO_3,Batch9
H1_3_2,SKO_3,Batch9
H1_3_3,SKO_3,Batch7
H1_3_4,SKO_3,Batch7
H1_4_1,SKO_4,Batch9
H1_4_2,SKO_4,Batch9
H1_4_3,SKO_4,Batch7
H1_4_4,SKO_4,Batch7
H1_5_1,SKO_5,Batch9
H1_5_2,SKO_5,Batch9
H1_5_3,SKO_5,Batch7
H1_5_4,SKO_5,Batch7
H1_X_1,SKO_X,Batch9
H1_X_2,SKO_X,Batch9
H1_X_3,SKO_X,Batch7
H1_X_4,SKO_X,Batch7
WT_3,WT,Batch7
WT_4,WT,Batch7
WT_5,WT,Batch7
WT_6,WT,Batch8
WT_7,WT,Batch8
