Sample,SubjectID,Tx,Batch
H1_0_1_C,S1,DKO0_1,Batch5
H1_0_1_D,S2,DKO0_1,Batch6
H1_0_1_F,S3,DKO0_1,Batch6
H1_0_2_B,S4,DKO0_2,Batch5
H1_0_2_E,S5,DKO0_2,Batch6
H1_0_3_A,S6,DKO0_3,Batch5
H1_0_3_B,S7,DKO0_3,Batch6
H1_0_3_C,S8,DKO0_3,Batch5
H1_0_3_D,S9,DKO0_3,Batch6
H1_0_3_E,S10,DKO0_3,Batch5
H1_0_3_F,S11,DKO0_3,Batch6
H1_0_4_A,S12,DKO0_4,Batch5
H1_0_4_D,S13,DKO0_4,Batch5
H1_0_4_E,S14,DKO0_4,Batch6
H1_0_4_F,S15,DKO0_4,Batch6
H1_0_5_A,S16,DKO0_5,Batch5
H1_0_5_B,S17,DKO0_5,Batch6
H1_0_5_C,S18,DKO0_5,Batch5
H1_0_5_D,S19,DKO0_5,Batch6
H1_0_5_E,S20,DKO0_5,Batch5
H1_0_5_F,S21,DKO0_5,Batch6
H1_1_4_A,S22,DKO1_4,Batch5
H1_1_4_B,S23,DKO1_4,Batch6
H1_1_4_C,S24,DKO1_4,Batch5
H1_1_4_D,S25,DKO1_4,Batch6
H1_1_4_E,S26,DKO1_4,Batch5
H1_1_4_F,S27,DKO1_4,Batch6
H1_1_5_D,S28,DKO1_5,Batch6
H1_1_5_E,S29,DKO1_5,Batch5
H1_1_5_F,S30,DKO1_5,Batch6
H1_2_4_A,S31,DKO2_4,Batch5
H1_2_4_B,S32,DKO2_4,Batch6
H1_2_4_C,S33,DKO2_4,Batch5
H1_2_4_D,S34,DKO2_4,Batch6
H1_2_4_E,S35,DKO2_4,Batch5
H1_2_4_F,S36,DKO2_4,Batch6
H1_3_4_A,S37,DKO3_4,Batch5
H1_3_4_B,S38,DKO3_4,Batch6
H1_3_4_C,S39,DKO3_4,Batch5
H1_3_4_D,S40,DKO3_4,Batch6
H1_3_4_E,S41,DKO3_4,Batch5
H1_3_4_F,S42,DKO3_4,Batch6
H1_3_5_A,S43,DKO3_5,Batch5
H1_3_5_B,S44,DKO3_5,Batch6
H1_3_5_F,S45,DKO3_5,Batch6
H1_4_5_A,S46,DKO4_5,Batch5
H1_4_5_C,S47,DKO4_5,Batch6
H1_4_5_D,S48,DKO4_5,Batch5
H1_4_5_F,S49,DKO4_5,Batch6
H1_X_0_A,S50,DKOX_0,Batch5
H1_X_0_C,S51,DKOX_0,Batch6
H1_X_0_D,S52,DKOX_0,Batch5
H1_X_0_F,S53,DKOX_0,Batch6
H1_X_2_A,S54,DKOX_2,Batch5
H1_X_2_B,S55,DKOX_2,Batch6
H1_X_2_C,S56,DKOX_2,Batch5
H1_X_2_D,S57,DKOX_2,Batch6
H1_X_2_E,S58,DKOX_2,Batch5
H1_X_2_F,S59,DKOX_2,Batch6
H1_X_3_A,S60,DKOX_3,Batch5
H1_X_3_C,S61,DKOX_3,Batch6
H1_X_3_D,S62,DKOX_3,Batch5
H1_X_3_F,S63,DKOX_3,Batch6
H1_X_4_A,S64,DKOX_4,Batch5
H1_X_4_D,S65,DKOX_4,Batch5
H1_X_4_E,S66,DKOX_4,Batch6
H1_X_4_F,S67,DKOX_4,Batch6
H1_X_5_A,S68,DKOX_5,Batch5
H1_X_5_B,S69,DKOX_5,Batch6
H1_X_5_C,S70,DKOX_5,Batch5
H1_X_5_D,S71,DKOX_5,Batch6
H1_X_5_E,S72,DKOX_5,Batch5
H1_X_5_F,S73,DKOX_5,Batch6
WT_3,S124,WT_sko,Batch7
WT_4,S125,WT_sko,Batch7
WT_5,S126,WT_sko,Batch7
WT_6,S127,WT_sko,Batch8
WT_7,S128,WT_sko,Batch8
WT_8,S129,WT_dko,Batch6
WT_9,S130,WT_dko,Batch5
WT_10,S131,WT_dko,Batch5
H1_0_1,S132,SKO_0,Batch9
H1_0_2,S133,SKO_0,Batch9
H1_0_3,S134,SKO_0,Batch7
H1_0_4,S135,SKO_0,Batch7
H1_1_1,S136,SKO_1,Batch9
H1_1_2,S137,SKO_1,Batch9
H1_1_3,S138,SKO_1,Batch7
H1_1_4,S139,SKO_1,Batch7
H1_2_1,S140,SKO_2,Batch9
H1_2_2,S141,SKO_2,Batch9
H1_2_3,S142,SKO_2,Batch7
H1_2_4,S143,SKO_2,Batch7
H1_3_1,S144,SKO_3,Batch9
H1_3_2,S145,SKO_3,Batch9
H1_3_3,S146,SKO_3,Batch7
H1_3_4,S147,SKO_3,Batch7
H1_4_1,S148,SKO_4,Batch9
H1_4_2,S149,SKO_4,Batch9
H1_4_3,S150,SKO_4,Batch7
H1_4_4,S151,SKO_4,Batch7
H1_5_1,S152,SKO_5,Batch9
H1_5_2,S153,SKO_5,Batch9
H1_5_3,S154,SKO_5,Batch7
H1_5_4,S155,SKO_5,Batch7
H1_X_1,S156,SKO_X,Batch9
H1_X_2,S157,SKO_X,Batch9
H1_X_3,S158,SKO_X,Batch7
H1_X_4,S159,SKO_X,Batch7
